donor,week,rep,a,o,p,s,v,donorLost,donorGFP,at,ot,pt,st,vt
od,1,1,5,34,130,1,19,0,34,1,117,0,0,2
od,1,2,7,33,141,138,1,0,33,22,125,0,0,0
od,1,3,10,16,123,151,8,0,16,2,120,0,0,0
od,1,4,11,28,146,60,13,0,28,2,158,0,0,3
od,1,6,2,19,67,124,4,0,19,4,94,0,0,0
od,5,1,8,29,73,61,13,0,29,0,104,0,0,1
od,5,2,5,21,159,220,3,0,21,4,94,0,0,0
od,5,3,6,33,198,230,4,0,33,1,87,0,0,1
od,5,4,7,10,67,99,7,0,10,1,66,0,0,0
od,5,5,4,20,69,101,5,0,20,0,108,0,0,0
od,5,6,11,14,104,103,7,0,14,2,163,0,0,0
pc,1,1,8,173,79,252,48,43,36,0,0,119,0,0
pc,1,2,14,40,64,150,33,42,22,0,0,73,0,0
pc,1,3,12,44,80,179,23,48,32,0,0,125,0,0
pc,1,4,9,104,51,225,21,32,19,0,0,110,0,0
pc,1,5,18,49,38,153,12,25,13,0,0,59,0,0
pc,1,6,8,44,32,101,25,18,14,0,0,74,0,0
pc,5,1,7,29,234,146,23,226,8,2,0,13,4,1
pc,5,2,5,42,179,56,18,169,10,0,0,52,0,0
pc,5,5,20,143,246,440,10,229,17,0,0,37,0,0
pc,5,6,3,55,112,174,10,107,5,0,0,36,0,0
