,X,week,replicate,treatment,treat.2,plasmid,tet,donor,OD,VG,SR,AA,PC,shanon,simpson,odCheck,odPlas,pcCheck,pcPlas,aaCheck,aaPlas,srCheck,srPlas,vgCheck,vgPlas,total
1,0,1,a1,antibiotic,antibiotic,no,yes,none,2,32,0,127,0,0.562760867,0.33810424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
2,1,1,a2,antibiotic,antibiotic,no,yes,none,0,25,0,107,0,0.485342976,0.30704775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
3,2,1,a3,antibiotic,antibiotic,no,yes,none,3,52,0,191,0,0.578726922,0.352336572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246
4,3,1,a4,antibiotic,antibiotic,no,yes,none,2,86,0,122,0,0.725437391,0.494693878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210
5,4,1,a5,antibiotic,antibiotic,no,yes,none,2,31,1,189,0,0.481027899,0.262261457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223
6,5,1,a6,antibiotic,antibiotic,no,yes,none,3,60,0,178,0,0.62457294,0.392348617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241
7,6,1,c1,control,control,no,no,none,345,22,101,8,75,1.065636677,0.554023208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551
8,7,1,c2,control,control,no,no,none,300,10,90,9,41,0.973303273,0.506360494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450
9,8,1,c3,control,control,no,no,none,227,87,82,8,95,1.341659251,0.699153819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499
10,9,1,c4,control,control,no,no,none,178,44,124,5,80,1.320896836,0.701654276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431
11,10,1,c5,control,control,no,no,none,287,29,84,18,71,1.184614945,0.600072767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489
12,11,1,c6,control,control,no,no,none,245,104,69,15,69,1.326663136,0.680211425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502
13,12,1,m.o1,mutualist,m.o,yes,yes,o,174,40,0,11,0,0.653399743,0.367960494,174,174,NA,NA,NA,NA,NA,NA,12,1,225
14,13,1,m.o2,mutualist,m.o,yes,yes,o,142,48,0,7,0,0.6986024,0.419799531,142,142,NA,NA,1,0,NA,NA,12,1,197
15,14,1,m.o3,mutualist,m.o,yes,yes,o,126,33,0,7,0,0.663929711,0.38256641,126,126,NA,NA,5,0,NA,NA,12,2,166
16,15,1,m.o4,mutualist,m.o,yes,yes,o,121,66,1,3,0,0.749112664,0.478989063,121,121,NA,NA,NA,NA,1,0,12,0,191
17,16,1,m.o5,mutualist,m.o,yes,yes,o,133,56,0,10,0,0.776410455,0.471604252,133,133,NA,NA,NA,NA,NA,NA,12,0,199
18,17,1,m.o6,mutualist,m.o,yes,yes,o,198,43,0,7,0,0.584276133,0.331718262,198,198,NA,NA,5,0,NA,NA,12,0,248
19,18,1,m.p1,mutualist,m.p,yes,yes,p,39,37,46,6,9,1.393514143,0.727049923,39,39,9,9,2,0,12,12,12,4,137
20,19,1,m.p2,mutualist,m.p,yes,yes,p,23,128,0,10,59,1.044642088,0.576570248,23,22,59,59,3,0,NA,NA,12,0,220
21,20,1,m.p3,mutualist,m.p,yes,yes,p,9,16,0,1,11,1.164612811,0.664718773,9,9,11,11,NA,NA,NA,NA,12,5,37
22,21,1,m.p4,mutualist,m.p,yes,yes,p,17,49,1,3,11,1.079183645,0.570035056,17,17,11,11,4,0,1,1,12,0,81
23,22,1,m.p5,mutualist,m.p,yes,yes,p,2,56,0,1,11,0.63159757,0.334285714,2,2,11,11,1,0,NA,NA,12,0,70
24,23,1,m.p6,mutualist,m.p,yes,yes,p,7,38,1,3,5,0.966897537,0.475994513,7,7,5,5,4,0,1,1,12,0,54
25,24,1,m.v1,mutualist,m.v,yes,yes,v,107,5,34,64,4,1.157620716,0.631901578,107,2,4,4,12,0,12,12,5,5,214
26,25,1,m.v2,mutualist,m.v,yes,yes,v,71,18,0,88,0,0.94630452,0.581569792,71,44,NA,NA,12,0,NA,NA,12,12,177
27,26,1,m.v3,mutualist,m.v,yes,yes,v,19,28,0,73,0,0.933745025,0.550416667,19,8,NA,NA,12,0,NA,NA,12,12,120
28,27,1,m.v4,mutualist,m.v,yes,yes,v,12,117,0,115,14,1.019598238,0.590559462,12,12,14,14,12,0,NA,NA,12,12,258
29,28,1,m.v6,mutualist,m.v,yes,yes,v,146,47,0,210,50,1.199650987,0.658275222,146,109,50,50,12,0,NA,NA,12,12,453
30,29,1,o1,plasmid,o,yes,no,o,148,142,64,16,67,1.421902987,0.733417466,148,147,67,0,NA,NA,12,0,12,0,437
31,30,1,o2,plasmid,o,yes,no,o,143,99,117,8,109,1.439009348,0.753354283,143,143,109,0,NA,NA,12,2,12,1,476
32,31,1,o3,plasmid,o,yes,no,o,81,25,78,12,29,1.399584738,0.718419753,81,81,29,0,NA,NA,12,0,12,3,225
33,32,1,o4,plasmid,o,yes,no,o,122,42,129,12,113,1.408681923,0.73557153,122,122,113,1,NA,NA,12,2,12,0,418
34,33,1,o5,plasmid,o,yes,no,o,99,118,47,7,108,1.404274644,0.737909093,99,99,108,0,NA,NA,12,3,12,0,379
35,34,1,o6,plasmid,o,yes,no,o,96,112,56,8,86,1.434224622,0.747542212,96,96,86,0,NA,NA,12,1,12,0,358
36,35,1,p1,plasmid,p,yes,no,p,182,84,72,20,42,1.381128152,0.70295,182,0,42,39,NA,NA,12,2,12,1,400
37,36,1,p2,plasmid,p,yes,no,p,111,39,148,9,18,1.239130149,0.657742012,111,4,18,16,NA,NA,12,0,12,0,325
38,37,1,p3,plasmid,p,yes,no,p,181,84,81,9,17,1.249521265,0.66218638,181,4,17,14,NA,NA,12,2,12,0,372
39,38,1,p4,plasmid,p,yes,no,p,132,100,70,10,24,1.347644844,0.707695578,132,2,24,21,NA,NA,12,0,12,0,336
40,39,1,p5,plasmid,p,yes,no,p,152,92,81,15,29,1.374598536,0.712142243,152,0,29,24,NA,NA,12,0,12,0,369
41,40,1,p6,plasmid,p,yes,no,p,161,33,153,18,44,1.315233763,0.68508677,161,2,44,38,NA,NA,12,0,12,0,409
42,41,1,v1,plasmid,v,yes,no,v,116,30,91,9,170,1.326835851,0.701726609,116,0,170,0,NA,NA,12,5,12,12,416
43,42,1,v2,plasmid,v,yes,no,v,117,14,85,9,125,1.300616731,0.699461224,117,0,125,0,NA,NA,12,0,12,12,350
44,43,1,v3,plasmid,v,yes,no,v,131,17,75,7,56,1.286522753,0.678957406,131,0,56,0,NA,NA,12,6,12,12,286
45,44,1,v4,plasmid,v,yes,no,v,136,23,48,10,90,1.316216473,0.686691636,136,0,90,0,NA,NA,12,5,12,12,307
46,45,1,v5,plasmid,v,yes,no,v,115,37,83,13,96,1.429139634,0.73914954,115,0,96,0,NA,NA,12,4,12,12,344
47,46,1,v6,plasmid,v,yes,no,v,137,23,72,14,94,1.363974363,0.710086505,137,0,94,0,NA,NA,12,3,12,12,340
48,47,3,a1,antibiotic,antibiotic,no,yes,none,138,20,1,83,66,1.23933148,0.67648423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308
49,48,3,a2,antibiotic,antibiotic,no,yes,none,138,4,2,21,29,0.894254908,0.459400574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194
50,49,3,a3,antibiotic,antibiotic,no,yes,none,153,8,0,55,39,1.033127217,0.569104191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255
51,50,3,a4,antibiotic,antibiotic,no,yes,none,240,11,0,2,20,0.470163629,0.220102242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273
52,51,3,a5,antibiotic,antibiotic,no,yes,none,143,10,0,48,64,1.109168321,0.616247775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265
53,52,3,a6,antibiotic,antibiotic,no,yes,none,117,21,1,49,61,1.250096182,0.673343978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249
54,53,3,c1,control,control,no,no,none,89,12,0,5,35,0.964420256,0.5314622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
